,programs,program_spec,entrance_tests,prioraty,min_score,link_1,cost
78,19,Мировая экономика,математика,1,60,https://www.hse.ru/ba/we,650000
79,19,Мировая экономика,обществознание,2,65,https://www.hse.ru/ba/we,650000
80,19,Мировая экономика,иностранный язык,3,70,https://www.hse.ru/ba/we,650000
81,19,Мировая экономика,русский язык,4,60,https://www.hse.ru/ba/we,650000
82,20,Программа двух дипломов по экономике НИУ ВШЭ и Лондонского университета (реализуется на английском языке),математика,1,60,https://www.hse.ru/ba/icef/,880000
83,20,Программа двух дипломов по экономике НИУ ВШЭ и Лондонского университета (реализуется на английском языке),иностранный язык,2,70,https://www.hse.ru/ba/icef/,880000
84,20,Программа двух дипломов по экономике НИУ ВШЭ и Лондонского университета (реализуется на английском языке),русский язык,3,60,https://www.hse.ru/ba/icef/,880000
86,21,Маркетинг и рыночная аналитика,математика,1,60,https://www.hse.ru/ba/marketing/,550000
87,21,Маркетинг и рыночная аналитика,русский язык,2,60,https://www.hse.ru/ba/marketing/,550000
88,21,Маркетинг и рыночная аналитика,иностранный язык,3,65,https://www.hse.ru/ba/marketing/,550000
89,22,Управление бизнесом,математика,1,60,https://www.hse.ru/ba/bba/,550000
90,22,Управление бизнесом,русский язык,2,60,https://www.hse.ru/ba/bba/,550000
91,22,Управление бизнесом,иностранный язык,3,65,https://www.hse.ru/ba/bba/,550000
92,23,Управление логистикой и цепями поставок,математика,1,60,https://www.hse.ru/ba/logistics/,550000
93,23,Управление логистикой и цепями поставок,иностранный язык,2,65,https://www.hse.ru/ba/logistics/,550000
94,23,Управление логистикой и цепями поставок,русский язык,3,60,https://www.hse.ru/ba/logistics/,550000
96,24,Государственное и муниципальное управление,математика,1,60,https://www.hse.ru/ba/gmu/,480000
97,24,Государственное и муниципальное управление,обществознание,2,60,https://www.hse.ru/ba/gmu/,480000
98,24,Государственное и муниципальное управление,иностранный язык,3,60,https://www.hse.ru/ba/gmu/,480000
99,24,Государственное и муниципальное управление,русский язык,4,60,https://www.hse.ru/ba/gmu/,480000
101,25,Бизнес-информатика,математика,1,65,https://www.hse.ru/ba/bi/,570000
102,25,Бизнес-информатика,иностранный язык,2,65,https://www.hse.ru/ba/bi/,570000
103,25,Бизнес-информатика,русский язык,3,60,https://www.hse.ru/ba/bi/,570000
104,26,"Цифровые инновации в управлении предприятием (программа двух дипломов НИУ ВШЭ и Лондонского университета)
(реализуется на английском языке)",математика,1,60,https://www.hse.ru/ba/digital/,690000
105,26,"Цифровые инновации в управлении предприятием (программа двух дипломов НИУ ВШЭ и Лондонского университета)
(реализуется на английском языке)",иностранный язык,2,70,https://www.hse.ru/ba/digital/,690000
106,26,"Цифровые инновации в управлении предприятием (программа двух дипломов НИУ ВШЭ и Лондонского университета)
(реализуется на английском языке)",русский язык,3,60,https://www.hse.ru/ba/digital/,690000
108,27,Социология,математика,1,60,https://www.hse.ru/ba/soc/,390000
109,27,Социология,обществознание,2,60,https://www.hse.ru/ba/soc/,390000
110,27,Социология,иностранный язык,3,60,https://www.hse.ru/ba/soc/,390000
111,27,Социология,русский язык,4,60,https://www.hse.ru/ba/soc/,390000
113,28,Юриспруденция,обществознание,1,60,https://www.hse.ru/ba/law/,430000
114,28,Юриспруденция,история,2,60,https://www.hse.ru/ba/law/,430000
115,28,Юриспруденция,русский язык,3,60,https://www.hse.ru/ba/law/,430000
116,28,Юриспруденция,иностранный язык,4,60,https://www.hse.ru/ba/law/,430000
117,29,Юриспруденция: частное право,обществознание,1,60,https://www.hse.ru/ba/privlaw/,490000
118,29,Юриспруденция: частное право,история,2,60,https://www.hse.ru/ba/privlaw/,490000
119,29,Юриспруденция: частное право,русский язык,3,60,https://www.hse.ru/ba/privlaw/,490000
120,29,Юриспруденция: частное право,иностранный язык,4,60,https://www.hse.ru/ba/privlaw/,490000
122,30,"Программа двух дипломов НИУ ВШЭ и Университета Кёнхи «Экономика и политика в Азии» (реализуется на
английском языке)",история,1,60,https://www.hse.ru/ba/epa/,550000
123,30,"Программа двух дипломов НИУ ВШЭ и Университета Кёнхи «Экономика и политика в Азии» (реализуется на
английском языке)",иностранный язык,2,70,https://www.hse.ru/ba/epa/,550000
124,30,"Программа двух дипломов НИУ ВШЭ и Университета Кёнхи «Экономика и политика в Азии» (реализуется на
английском языке)",русский язык,3,60,https://www.hse.ru/ba/epa/,550000
126,31,Политология,история,1,65,https://www.hse.ru/ba/political/,450000
127,31,Политология,обществознание,2,65,https://www.hse.ru/ba/political/,450000
128,31,Политология,иностранный язык,3,60,https://www.hse.ru/ba/political/,450000
129,31,Политология,русский язык,4,60,https://www.hse.ru/ba/political/,450000
131,32,Международные отношения,история,1,65,https://www.hse.ru/ba/ia/,540000
132,32,Международные отношения,обществознание,2,65,https://www.hse.ru/ba/ia/,540000
133,32,Международные отношения,иностранный язык,3,70,https://www.hse.ru/ba/ia/,540000
134,32,Международные отношения,русский язык,4,60,https://www.hse.ru/ba/ia/,540000
135,33,Программа двух дипломов НИУ ВШЭ и Лондонского университета по международным отношениям(реализуется на английском языке)(история),история,1,60,https://www.hse.ru/ba/ir/,720000
136,33,Программа двух дипломов НИУ ВШЭ и Лондонского университета по международным отношениям(реализуется на английском языке)(история),иностранный язык,2,75,https://www.hse.ru/ba/ir/,720000
137,33,Программа двух дипломов НИУ ВШЭ и Лондонского университета по международным отношениям(реализуется на английском языке)(история),русский язык,3,60,https://www.hse.ru/ba/ir/,720000
139,34,"Программа двух дипломов НИУ ВШЭ и Лондонского университета по международным
отношениям (реализуется на английском
языке)",обществознание,1,60,https://www.hse.ru/ba/ir/,720000
140,34,"Программа двух дипломов НИУ ВШЭ и Лондонского университета по международным
отношениям (реализуется на английском
языке)",иностранный язык,2,75,https://www.hse.ru/ba/ir/,720000
141,34,"Программа двух дипломов НИУ ВШЭ и Лондонского университета по международным
отношениям (реализуется на английском
языке)",русский язык,3,60,https://www.hse.ru/ba/ir/,720000
143,35,Реклама и связи с общественностью,обществознание,1,65,https://www.hse.ru/ba/ad/,650000
144,35,Реклама и связи с общественностью,иностранный язык,2,60,https://www.hse.ru/ba/ad/,650000
145,35,Реклама и связи с общественностью,русский язык,3,60,https://www.hse.ru/ba/ad/,650000
148,36,Журналистика,литература,2,65,https://www.hse.ru/ba/journ/,490000
149,36,Журналистика,иностранный язык,3,60,https://www.hse.ru/ba/journ/,490000
150,36,Журналистика,русский язык,4,65,https://www.hse.ru/ba/journ/,490000
152,37,Медиакоммуникации,иностранный язык,1,60,https://www.hse.ru/ba/media/,540000
154,37,Медиакоммуникации,литература,3,65,https://www.hse.ru/ba/media/,540000
155,37,Медиакоммуникации,русский язык,4,65,https://www.hse.ru/ba/media/,540000
157,38,Филология,литература,1,70,https://www.hse.ru/ba/philology/,440000
158,38,Филология,русский язык,2,75,https://www.hse.ru/ba/philology/,440000
159,38,Филология,иностранный язык,3,75,https://www.hse.ru/ba/philology/,440000
160,39,Античность,литература,1,60,https://www.hse.ru/ba/antiq/,390000
161,39,Античность,русский язык,2,60,https://www.hse.ru/ba/antiq/,390000
162,39,Античность,иностранный язык,3,60,https://www.hse.ru/ba/antiq/,390000
164,40,Иностранные языки и межкультурная коммуникация,иностранный язык,1,70,https://www.hse.ru/ba/lang/,550000
165,40,Иностранные языки и межкультурная коммуникация,русский язык,2,60,https://www.hse.ru/ba/lang/,550000
166,40,Иностранные языки и межкультурная коммуникация,обществознание,3,60,https://www.hse.ru/ba/lang/,550000
168,41,Фундаментальная и компьютерная лингвистика,математика,1,65,https://www.hse.ru/ba/ling/,420000
169,41,Фундаментальная и компьютерная лингвистика,русский язык,2,60,https://www.hse.ru/ba/ling/,420000
170,41,Фундаментальная и компьютерная лингвистика,иностранный язык,3,60,https://www.hse.ru/ba/ling/,420000
172,42,История,история,1,65,https://www.hse.ru/ba/hist/,390000
173,42,История,иностранный язык,2,60,https://www.hse.ru/ba/hist/,390000
174,42,История,русский язык,3,60,https://www.hse.ru/ba/hist/,390000
175,43,Античность(История),история,1,65,https://www.hse.ru/ba/antiq/,390000
176,43,Античность(История),русский язык,2,60,https://www.hse.ru/ba/antiq/,390000
177,43,Античность(История),иностранный язык,3,60,https://www.hse.ru/ba/antiq/,390000
179,44,Философия,обществознание,1,70,https://www.hse.ru/ba/phil/,390000
180,44,Философия,история,2,60,https://www.hse.ru/ba/phil/,390000
181,44,Философия,иностранный язык,3,60,https://www.hse.ru/ba/phil/,390000
182,44,Философия,русский язык,4,60,https://www.hse.ru/ba/phil/,390000
184,45,Современное искусство,русский язык,1,60,https://www.hse.ru/ba/art/,440000
185,45,Современное искусство,литература,2,60,https://www.hse.ru/ba/art/,440000
186,45,Современное искусство,иностранный язык,3,60,https://www.hse.ru/ba/art/,440000
